Gauge 0 Location: X=500.0, Y=300.0
Time(s) Depth(m) Elevation(m)
2050.000 0.000 0.055
2060.000 0.000 0.055
2070.000 0.000 0.055
2080.000 0.000 0.055
2090.000 0.000 0.055
2100.000 0.000 0.055
2110.000 0.000 0.055
2120.000 0.000 0.055
2130.000 0.000 0.055
2140.000 0.000 0.055
2150.000 0.000 0.055
2160.000 0.000 0.055
2170.000 0.000 0.055
2180.000 0.000 0.055
2190.000 0.000 0.055
2200.000 0.000 0.055
2210.000 0.000 0.055
2220.000 0.000 0.055
2230.000 0.000 0.055
2240.000 0.000 0.055
2250.000 0.000 0.055
2260.000 0.000 0.055
2270.000 0.000 0.055
2280.000 0.000 0.055
2290.000 0.000 0.055
2300.000 0.000 0.055
2310.000 0.000 0.055
2320.000 0.000 0.055
2330.000 0.000 0.055
2340.000 0.000 0.055
2350.000 0.000 0.055
2360.000 0.000 0.055
2370.000 0.000 0.055
2380.000 0.000 0.055
2390.000 0.000 0.055
2400.000 0.000 0.055
2410.000 0.000 0.055
2420.000 0.000 0.055
2430.000 0.000 0.055
2440.000 0.000 0.055
2450.000 0.000 0.055
2460.000 0.000 0.055
2470.000 0.000 0.055
2480.000 0.000 0.055
2490.000 0.000 0.055
2500.000 0.000 0.055
2510.000 0.000 0.055
2520.000 0.000 0.055
2530.000 0.000 0.055
2540.000 0.000 0.055
2550.000 0.000 0.055
2560.000 0.000 0.055
2570.000 0.000 0.055
2580.000 0.000 0.055
2590.000 0.000 0.055
2600.000 0.000 0.055
2610.000 0.000 0.055
2620.000 0.000 0.055
2630.000 0.000 0.055
2640.000 0.000 0.055
2650.000 0.000 0.055
2660.000 0.000 0.055
2670.000 0.000 0.055
2680.000 0.000 0.055
2690.000 0.000 0.055
2700.000 0.000 0.055
2710.000 0.000 0.055
2720.000 0.000 0.055
2730.000 0.000 0.055
2740.000 0.000 0.055
2750.000 0.000 0.055
2760.000 0.000 0.055
2770.000 0.000 0.055
2780.000 0.000 0.055
2790.000 0.000 0.055
2800.000 0.000 0.055
2810.000 0.000 0.055
2820.000 0.000 0.055
2830.000 0.000 0.055
2840.000 0.000 0.055
2850.000 0.000 0.055
2860.000 0.000 0.055
2870.000 0.000 0.055
2880.000 0.000 0.055
2890.000 0.000 0.055
2900.000 0.000 0.055
2910.000 0.000 0.055
2920.000 0.000 0.055
2930.000 0.000 0.055
2940.000 0.000 0.055
2950.000 0.000 0.055
2960.000 0.000 0.055
2970.000 0.000 0.055
2980.000 0.000 0.055
2990.000 0.000 0.055
3000.000 0.000 0.055
3010.000 0.000 0.055
3020.000 0.000 0.055
3030.000 0.000 0.055
3040.000 0.000 0.055
3050.000 0.000 0.055
3060.000 0.000 0.055
3070.000 0.000 0.055
3080.000 0.000 0.055
3090.000 0.000 0.055
3100.000 0.000 0.055
3110.000 0.000 0.055
3120.000 0.000 0.055
3130.000 0.000 0.055
3140.000 0.000 0.055
3150.000 0.000 0.055
3160.000 0.000 0.055
3170.000 0.000 0.055
3180.000 0.000 0.055
3190.000 0.000 0.055
3200.000 0.000 0.055
3210.000 0.000 0.055
3220.000 0.000 0.055
3230.000 0.000 0.055
3240.000 0.000 0.055
3250.000 0.000 0.055
3260.000 0.000 0.055
3270.000 0.000 0.055
3280.000 0.000 0.055
3290.000 0.000 0.055
3300.000 0.000 0.055
3310.000 0.000 0.055
3320.000 0.000 0.055
3330.000 0.000 0.055
3340.000 0.000 0.055
3350.000 0.000 0.055
3360.000 0.000 0.055
3370.000 0.000 0.055
3380.000 0.000 0.055
3390.000 0.000 0.055
3400.000 0.000 0.055
3410.000 0.000 0.055
3420.000 0.000 0.055
3430.000 0.000 0.055
3440.000 0.000 0.055
3450.000 0.000 0.055
3460.000 0.000 0.055
3470.000 0.000 0.055
3480.000 0.000 0.055
3490.000 0.000 0.055
3500.000 0.000 0.055
3510.000 0.000 0.055
3520.000 0.000 0.055
3530.000 0.000 0.055
3540.000 0.000 0.055
3550.000 0.000 0.055
3560.000 0.000 0.055
3570.000 0.000 0.055
3580.000 0.000 0.055
3590.000 0.000 0.055
3600.000 0.000 0.055
