Gauge 2 Location: X=1200.0, Y=150.0
Time(s) Depth(m) Elevation(m)
1100.000 0.000 0.013
1110.000 0.000 0.013
1120.000 0.000 0.013
1130.000 0.000 0.013
1140.000 0.000 0.013
1150.000 0.000 0.013
1160.000 0.000 0.013
1170.000 0.000 0.013
1180.000 0.000 0.013
1190.000 0.000 0.013
1200.000 0.000 0.013
1210.000 0.000 0.013
1220.000 0.000 0.013
1230.000 0.000 0.013
1240.000 0.000 0.013
1250.000 0.000 0.013
1260.000 0.000 0.013
1270.000 0.000 0.013
1280.000 0.000 0.013
1290.000 0.000 0.013
1300.000 0.000 0.013
1310.000 0.000 0.013
1320.000 0.000 0.013
1330.000 0.000 0.013
1340.000 0.000 0.013
1350.000 0.000 0.013
1360.000 0.000 0.013
1370.000 0.000 0.013
1380.000 0.000 0.013
1390.000 0.000 0.013
1400.000 0.000 0.013
1410.000 0.000 0.013
1420.000 0.000 0.013
1430.000 0.000 0.013
1440.000 0.000 0.013
1450.000 0.000 0.013
1460.000 0.000 0.013
1470.000 0.000 0.013
1480.000 0.000 0.013
1490.000 0.000 0.013
1500.000 0.000 0.013
1510.000 0.000 0.013
1520.000 0.000 0.013
1530.000 0.000 0.013
1540.000 0.000 0.013
1550.000 0.000 0.013
1560.000 0.000 0.013
1570.000 0.000 0.013
1580.000 0.000 0.013
1590.000 0.000 0.013
1600.000 0.000 0.013
1610.000 0.000 0.013
1620.000 0.000 0.013
1630.000 0.000 0.013
1640.000 0.000 0.013
1650.000 0.000 0.013
1660.000 0.000 0.013
1670.000 0.000 0.013
1680.000 0.000 0.013
1690.000 0.000 0.013
1700.000 0.000 0.013
1710.000 0.000 0.013
1720.000 0.000 0.013
1730.000 0.000 0.013
1740.000 0.000 0.013
1750.000 0.000 0.013
1760.000 0.000 0.013
1770.000 0.000 0.013
1780.000 0.000 0.013
1790.000 0.000 0.013
1800.000 0.000 0.013
1810.000 0.000 0.013
1820.000 0.000 0.013
1830.000 0.000 0.013
1840.000 0.000 0.013
1850.000 0.000 0.013
1860.000 0.000 0.013
1870.000 0.000 0.013
1880.000 0.000 0.013
1890.000 0.000 0.013
1900.000 0.000 0.013
1910.000 0.000 0.013
1920.000 0.000 0.013
1930.000 0.000 0.013
1940.000 0.000 0.013
1950.000 0.000 0.013
1960.000 0.000 0.013
1970.000 0.000 0.013
1980.000 0.000 0.013
1990.000 0.000 0.013
2000.000 0.000 0.013
2010.000 0.000 0.013
2020.000 0.000 0.013
2030.000 0.000 0.013
2040.000 0.000 0.013
2050.000 0.000 0.013
2060.000 0.000 0.013
2070.000 0.000 0.013
2080.000 0.000 0.013
2090.000 0.000 0.013
2100.000 0.000 0.013
2110.000 0.000 0.013
2120.000 0.000 0.013
2130.000 0.000 0.013
2140.000 0.000 0.013
2150.000 0.000 0.013
2160.000 0.000 0.013
2170.000 0.000 0.013
2180.000 0.000 0.013
2190.000 0.000 0.013
2200.000 0.000 0.013
2210.000 0.000 0.013
2220.000 0.000 0.013
2230.000 0.000 0.013
2240.000 0.000 0.013
2250.000 0.000 0.013
2260.000 0.000 0.013
2270.000 0.000 0.013
2280.000 0.000 0.013
2290.000 0.000 0.013
2300.000 0.000 0.013
2310.000 0.000 0.013
2320.000 0.000 0.013
2330.000 0.000 0.013
2340.000 0.000 0.013
2350.000 0.000 0.013
2360.000 0.000 0.013
2370.000 0.000 0.013
2380.000 0.000 0.013
2390.000 0.000 0.013
2400.000 0.000 0.013
2410.000 0.000 0.013
2420.000 0.000 0.013
2430.000 0.000 0.013
2440.000 0.000 0.013
2450.000 0.000 0.013
2460.000 0.000 0.013
2470.000 0.000 0.013
2480.000 0.000 0.013
2490.000 0.000 0.013
2500.000 0.000 0.013
2510.000 0.000 0.013
2520.000 0.000 0.013
2530.000 0.000 0.013
2540.000 0.000 0.013
2550.000 0.000 0.013
2560.000 0.000 0.013
2570.000 0.000 0.013
2580.000 0.000 0.013
2590.000 0.000 0.013
2600.000 0.000 0.013
2610.000 0.000 0.013
2620.000 0.000 0.013
2630.000 0.000 0.013
2640.000 0.000 0.013
2650.000 0.000 0.013
2660.000 0.000 0.013
2670.000 0.000 0.013
2680.000 0.000 0.013
2690.000 0.000 0.013
2700.000 0.000 0.013
2710.000 0.000 0.013
2720.000 0.000 0.013
2730.000 0.000 0.013
2740.000 0.000 0.013
2750.000 0.000 0.013
2760.000 0.000 0.013
2770.000 0.000 0.013
2780.000 0.000 0.013
2790.000 0.000 0.013
2800.000 0.000 0.013
2810.000 0.000 0.013
2820.000 0.000 0.013
2830.000 0.000 0.013
2840.000 0.000 0.013
2850.000 0.000 0.013
2860.000 0.000 0.013
2870.000 0.000 0.013
2880.000 0.000 0.013
2890.000 0.000 0.013
2900.000 0.000 0.013
2910.000 0.000 0.013
2920.000 0.000 0.013
2930.000 0.000 0.013
2940.000 0.000 0.013
2950.000 0.000 0.013
2960.000 0.000 0.013
2970.000 0.000 0.013
2980.000 0.000 0.013
2990.000 0.000 0.013
3000.000 0.000 0.013
3010.000 0.000 0.013
3020.000 0.000 0.013
3030.000 0.000 0.013
3040.000 0.000 0.013
3050.000 0.000 0.013
3060.000 0.000 0.013
3070.000 0.000 0.013
3080.000 0.000 0.013
3090.000 0.000 0.013
3100.000 0.000 0.013
3110.000 0.000 0.013
3120.000 0.000 0.013
3130.000 0.000 0.013
3140.000 0.000 0.013
3150.000 0.000 0.013
3160.000 0.000 0.013
3170.000 0.000 0.013
3180.000 0.000 0.013
3190.000 0.000 0.013
3200.000 0.000 0.013
3210.000 0.000 0.013
3220.000 0.000 0.013
3230.000 0.000 0.013
3240.000 0.000 0.013
3250.000 0.000 0.013
3260.000 0.000 0.013
3270.000 0.000 0.013
3280.000 0.000 0.013
3290.000 0.000 0.013
3300.000 0.000 0.013
3310.000 0.000 0.013
3320.000 0.000 0.013
3330.000 0.000 0.013
3340.000 0.000 0.013
3350.000 0.000 0.013
3360.000 0.000 0.013
3370.000 0.000 0.013
3380.000 0.000 0.013
3390.000 0.000 0.013
3400.000 0.000 0.013
3410.000 0.000 0.013
3420.000 0.000 0.013
3430.000 0.000 0.013
3440.000 0.000 0.013
3450.000 0.000 0.013
3460.000 0.000 0.013
3470.000 0.000 0.013
3480.000 0.000 0.013
3490.000 0.000 0.013
3500.000 0.000 0.013
3510.000 0.000 0.013
3520.000 0.000 0.013
3530.000 0.000 0.013
3540.000 0.000 0.013
3550.000 0.000 0.013
3560.000 0.000 0.013
3570.000 0.000 0.013
3580.000 0.000 0.013
3590.000 0.000 0.013
3600.000 0.000 0.013
