Gauge 1 Location: X=300.0, Y=700.0
Time(s) Depth(m) Elevation(m)
1470.000 0.000 0.003
1480.000 0.000 0.003
1490.000 0.000 0.003
1500.000 0.000 0.003
1510.000 0.000 0.003
1520.000 0.000 0.003
1530.000 0.000 0.003
1540.000 0.000 0.003
1550.000 0.000 0.003
1560.000 0.000 0.003
1570.000 0.000 0.003
1580.000 0.000 0.003
1590.000 0.000 0.003
1600.000 0.000 0.003
1610.000 0.000 0.003
1620.000 0.000 0.003
1630.000 0.000 0.003
1640.000 0.000 0.003
1650.000 0.000 0.003
1660.000 0.000 0.003
1670.000 0.000 0.003
1680.000 0.000 0.003
1690.000 0.000 0.003
1700.000 0.000 0.003
1710.000 0.000 0.003
1720.000 0.000 0.003
1730.000 0.000 0.003
1740.000 0.000 0.003
1750.000 0.000 0.003
1760.000 0.000 0.003
1770.000 0.000 0.003
1780.000 0.000 0.003
1790.000 0.000 0.003
1800.000 0.000 0.003
1810.000 0.000 0.003
1820.000 0.000 0.003
1830.000 0.000 0.003
1840.000 0.000 0.003
1850.000 0.000 0.003
1860.000 0.000 0.003
1870.000 0.000 0.003
1880.000 0.000 0.003
1890.000 0.000 0.003
1900.000 0.000 0.003
1910.000 0.000 0.003
1920.000 0.000 0.003
1930.000 0.000 0.003
1940.000 0.000 0.003
1950.000 0.000 0.003
1960.000 0.000 0.003
1970.000 0.000 0.003
1980.000 0.000 0.003
1990.000 0.000 0.003
2000.000 0.000 0.003
2010.000 0.000 0.003
2020.000 0.000 0.003
2030.000 0.000 0.003
2040.000 0.000 0.003
2050.000 0.000 0.003
2060.000 0.000 0.003
2070.000 0.000 0.003
2080.000 0.000 0.003
2090.000 0.000 0.003
2100.000 0.000 0.003
2110.000 0.000 0.003
2120.000 0.000 0.003
2130.000 0.000 0.003
2140.000 0.000 0.003
2150.000 0.000 0.003
2160.000 0.000 0.003
2170.000 0.000 0.003
2180.000 0.000 0.003
2190.000 0.000 0.003
2200.000 0.000 0.003
2210.000 0.000 0.003
2220.000 0.000 0.003
2230.000 0.000 0.003
2240.000 0.000 0.003
2250.000 0.000 0.003
2260.000 0.000 0.003
2270.000 0.000 0.003
2280.000 0.000 0.003
2290.000 0.000 0.003
2300.000 0.000 0.003
2310.000 0.000 0.003
2320.000 0.000 0.003
2330.000 0.000 0.003
2340.000 0.000 0.003
2350.000 0.000 0.003
2360.000 0.000 0.003
2370.000 0.000 0.003
2380.000 0.000 0.003
2390.000 0.000 0.003
2400.000 0.000 0.003
2410.000 0.000 0.003
2420.000 0.000 0.003
2430.000 0.000 0.003
2440.000 0.000 0.003
2450.000 0.000 0.003
2460.000 0.000 0.003
2470.000 0.000 0.003
2480.000 0.000 0.003
2490.000 0.000 0.003
2500.000 0.000 0.003
2510.000 0.000 0.003
2520.000 0.000 0.003
2530.000 0.000 0.003
2540.000 0.000 0.003
2550.000 0.000 0.003
2560.000 0.000 0.003
2570.000 0.000 0.003
2580.000 0.000 0.003
2590.000 0.000 0.003
2600.000 0.000 0.003
2610.000 0.000 0.003
2620.000 0.000 0.003
2630.000 0.000 0.003
2640.000 0.000 0.003
2650.000 0.000 0.003
2660.000 0.000 0.003
2670.000 0.000 0.003
2680.000 0.000 0.003
2690.000 0.000 0.003
2700.000 0.000 0.003
2710.000 0.000 0.003
2720.000 0.000 0.003
2730.000 0.000 0.003
2740.000 0.000 0.003
2750.000 0.000 0.003
2760.000 0.000 0.003
2770.000 0.000 0.003
2780.000 0.000 0.003
2790.000 0.000 0.003
2800.000 0.000 0.003
2810.000 0.000 0.003
2820.000 0.000 0.003
2830.000 0.000 0.003
2840.000 0.000 0.003
2850.000 0.000 0.003
2860.000 0.000 0.003
2870.000 0.000 0.003
2880.000 0.000 0.003
2890.000 0.000 0.003
2900.000 0.000 0.003
2910.000 0.000 0.003
2920.000 0.000 0.003
2930.000 0.000 0.003
2940.000 0.000 0.003
2950.000 0.000 0.003
2960.000 0.000 0.003
2970.000 0.000 0.003
2980.000 0.000 0.003
2990.000 0.000 0.003
3000.000 0.000 0.003
3010.000 0.000 0.003
3020.000 0.000 0.003
3030.000 0.000 0.003
3040.000 0.000 0.003
3050.000 0.000 0.003
3060.000 0.000 0.003
3070.000 0.000 0.003
3080.000 0.000 0.003
3090.000 0.000 0.003
3100.000 0.000 0.003
3110.000 0.000 0.003
3120.000 0.000 0.003
3130.000 0.000 0.003
3140.000 0.000 0.003
3150.000 0.000 0.003
3160.000 0.000 0.003
3170.000 0.000 0.003
3180.000 0.000 0.003
3190.000 0.000 0.003
3200.000 0.000 0.003
3210.000 0.000 0.003
3220.000 0.000 0.003
3230.000 0.000 0.003
3240.000 0.000 0.003
3250.000 0.000 0.003
3260.000 0.000 0.003
3270.000 0.000 0.003
3280.000 0.000 0.003
3290.000 0.000 0.003
3300.000 0.000 0.003
3310.000 0.000 0.003
3320.000 0.000 0.003
3330.000 0.000 0.003
3340.000 0.000 0.003
3350.000 0.000 0.003
3360.000 0.000 0.003
3370.000 0.000 0.003
3380.000 0.000 0.003
3390.000 0.000 0.003
3400.000 0.000 0.003
3410.000 0.000 0.003
3420.000 0.000 0.003
3430.000 0.000 0.003
3440.000 0.000 0.003
3450.000 0.000 0.003
3460.000 0.000 0.003
3470.000 0.000 0.003
3480.000 0.000 0.003
3490.000 0.000 0.003
3500.000 0.000 0.003
3510.000 0.000 0.003
3520.000 0.000 0.003
3530.000 0.000 0.003
3540.000 0.000 0.003
3550.000 0.000 0.003
3560.000 0.000 0.003
3570.000 0.000 0.003
3580.000 0.000 0.003
3590.000 0.000 0.003
3600.000 0.000 0.003
